"","Sulci","alpha_level","beta"
"1","central","0.01",40.41937667
"2","sprs","0.01",-8.18157054
"3","iprs","0.01",11.45121088
"4","sfs_a","0.01",-11.21629674
"5","sfs_p","0.01",-20.13929436
"6","imfs_v","0.01",-3.81276962
"7","imfs_h","0.01",10.9334786
"8","ifs","0.01",0
"9","pmfs_p","0.01",-2.93240369
"10","pmfs_a","0.01",-6.47508637
"11","pmfs_i","0.01",8.10744373
"12","pimfs","0.01",17.81265166
"13","central","0.03",29.13484698
"14","sprs","0.03",-3.18809621
"15","iprs","0.03",5.98898257
"16","sfs_a","0.03",-1.76105379
"17","sfs_p","0.03",-11.21630941
"18","imfs_v","0.03",-0.08298085
"19","imfs_h","0.03",6.80424261
"20","ifs","0.03",0
"21","pmfs_p","0.03",0
"22","pmfs_a","0.03",-4.33774091
"23","pmfs_i","0.03",7.08640711
"24","pimfs","0.03",16.58716041
"25","central","0.05",15.10875049
"26","sprs","0.05",0
"27","iprs","0.05",0
"28","sfs_a","0.05",0
"29","sfs_p","0.05",-3.18791223
"30","imfs_v","0.05",0
"31","imfs_h","0.05",5.02634569
"32","ifs","0.05",0
"33","pmfs_p","0.05",0
"34","pmfs_a","0.05",-3.27346087
"35","pmfs_i","0.05",6.95809044
"36","pimfs","0.05",14.7351
"37","central","0.07",0
"38","sprs","0.07",0
"39","iprs","0.07",0
"40","sfs_a","0.07",0
"41","sfs_p","0.07",0
"42","imfs_v","0.07",0
"43","imfs_h","0.07",2.22146789
"44","ifs","0.07",0
"45","pmfs_p","0.07",0
"46","pmfs_a","0.07",-2.86063127
"47","pmfs_i","0.07",6.33187326
"48","pimfs","0.07",13.46924806
"49","central","0.09",0
"50","sprs","0.09",0
"51","iprs","0.09",0
"52","sfs_a","0.09",0
"53","sfs_p","0.09",0
"54","imfs_v","0.09",0
"55","imfs_h","0.09",0
"56","ifs","0.09",0
"57","pmfs_p","0.09",0
"58","pmfs_a","0.09",-2.15711533
"59","pmfs_i","0.09",5.02321984
"60","pimfs","0.09",12.4111429
"61","central","0.1",0
"62","sprs","0.1",0
"63","iprs","0.1",0
"64","sfs_a","0.1",0
"65","sfs_p","0.1",0
"66","imfs_v","0.1",0
"67","imfs_h","0.1",0
"68","ifs","0.1",0
"69","pmfs_p","0.1",0
"70","pmfs_a","0.1",-1.78404634
"71","pmfs_i","0.1",4.50306297
"72","pimfs","0.1",11.88492217
"73","central","0.3",0
"74","sprs","0.3",0
"75","iprs","0.3",0
"76","sfs_a","0.3",0
"77","sfs_p","0.3",0
"78","imfs_v","0.3",0
"79","imfs_h","0.3",0
"80","ifs","0.3",0
"81","pmfs_p","0.3",0
"82","pmfs_a","0.3",0
"83","pmfs_i","0.3",0
"84","pimfs","0.3",0.07690609
"85","central","0.5",0
"86","sprs","0.5",0
"87","iprs","0.5",0
"88","sfs_a","0.5",0
"89","sfs_p","0.5",0
"90","imfs_v","0.5",0
"91","imfs_h","0.5",0
"92","ifs","0.5",0
"93","pmfs_p","0.5",0
"94","pmfs_a","0.5",0
"95","pmfs_i","0.5",0
"96","pimfs","0.5",0
"97","central","0.7",0
"98","sprs","0.7",0
"99","iprs","0.7",0
"100","sfs_a","0.7",0
"101","sfs_p","0.7",0
"102","imfs_v","0.7",0
"103","imfs_h","0.7",0
"104","ifs","0.7",0
"105","pmfs_p","0.7",0
"106","pmfs_a","0.7",0
"107","pmfs_i","0.7",0
"108","pimfs","0.7",0
"109","central","0.9",0
"110","sprs","0.9",0
"111","iprs","0.9",0
"112","sfs_a","0.9",0
"113","sfs_p","0.9",0
"114","imfs_v","0.9",0
"115","imfs_h","0.9",0
"116","ifs","0.9",0
"117","pmfs_p","0.9",0
"118","pmfs_a","0.9",0
"119","pmfs_i","0.9",0
"120","pimfs","0.9",0
"121","central","1.0",0
"122","sprs","1.0",0
"123","iprs","1.0",0
"124","sfs_a","1.0",0
"125","sfs_p","1.0",0
"126","imfs_v","1.0",0
"127","imfs_h","1.0",0
"128","ifs","1.0",0
"129","pmfs_p","1.0",0
"130","pmfs_a","1.0",0
"131","pmfs_i","1.0",0
"132","pimfs","1.0",0
