,Measured,Predicted
0,26,28.46504967661023
1,30,30.074914136386948
2,23,20.76517891924806
3,29,25.902539533371336
4,27,31.227851643045017
5,31,31.845206635160892
6,19,22.539693170079026
7,23,23.140783412963252
8,27,26.08074346651778
9,25,31.17159192667596
10,35,31.353590739947816
11,29,26.382760512185936
12,26,26.801155744408533
13,22,20.130647741165063
14,26,24.619938584414008
15,32,27.017608075251395
16,23,22.166198567327534
17,32,32.98292779135443
18,31,29.080254449171264
19,29,31.00632773928093
20,28,27.44652817762479
21,34,30.40774073301942
22,32,29.77321001490252
23,29,29.56318564123559
24,16,23.43590633879197
25,32,30.64655958003402
26,32,33.858026682914414
